time, pascal, temperature
      15943105, -106.79, 25.3298
      15953105,-112.051, 25.3298
      15963228,-112.051, 25.3298
      15973172, -106.79, 25.3298
      15983106, -106.79, 25.3298
      15993105,-112.051, 25.3298
      16003105,-112.051, 25.3298
      16013105,-112.051, 25.3298
      16023105,-112.051, 25.3298
      16033105,-112.051, 25.3298
      16043105,-112.051, 25.3298
      16053105,-112.051, 25.3298
      16063105,-112.051, 25.3298
      16073105,-112.051, 25.3298
      16083105,-112.051, 25.3298
      16093105,-112.051, 25.3298
      16103105,-117.311, 25.3298
      16113105,-112.051, 25.3298
      16123219, -106.79, 25.3298
      16133162,-112.051, 25.3298
      16143106,-112.051, 25.3298
      16153105,-112.051, 25.3298
      16163105,-112.051, 25.3298
      16173105,-112.051, 25.3298
      16183105,-112.051, 25.3298
      16193105,-112.051, 25.3298
      16203105,-112.051, 25.3298
      16213105,-112.051, 25.3298
      16223105,-112.051, 25.3298
      16233105,-112.051, 25.3298
      16243105,-112.051, 25.3298
      16253105,-112.051, 25.3298
      16263105,-112.051, 25.3298
      16273105,-117.311, 25.3298
      16283279,-112.051, 25.3298
      16293154,-112.051, 25.3298
      16303106,-112.051, 25.3298
      16313105, -106.79, 25.3298
      16323105, -106.79, 25.3298
      16333105,-112.051, 25.3298
      16343105,-112.051, 25.3298
      16353105,-112.051, 25.3298
      16363105,-112.051, 25.3298
      16373105,-112.051, 25.3298
      16383105,-112.051, 25.3298
      16393105,-112.051, 25.3298
      16403105,-112.051, 25.3298
      16413215, -106.79, 25.3298
      16423225,-112.051, 25.3298
      16433254, -106.79, 25.3298
      16443217, -106.79, 25.3298
      16453267, -106.79, 25.3298
      16463233,-112.051, 25.3298
      16473140,-112.051, 25.3298
      16483106,-112.051, 25.3298
      16493105,-112.051, 25.3298
      16503105, -106.79, 25.3298
      16513105,-112.051, 25.3298
      16523105,-112.051, 25.3298
      16533105,-112.051, 25.3298
      16543105,-112.051, 25.3298
      16553105,-112.051, 25.3298
      16563105, -106.79, 25.3298
      16573105,-112.051, 25.3298
      16583105,-112.051, 25.3298
      16593105, -106.79, 25.3298
      16603223,-112.051, 25.3298
      16613162,-112.051, 25.3298
      16623106,-112.051, 25.3298
      16633105,-112.051, 25.3298
      16643105,-112.051, 25.3298
      16653105,-112.051, 25.3298
      16663105, -106.79, 25.3298
      16673105,-112.051, 25.3298
      16683105,-112.051, 25.3298
      16693105,-112.051, 25.3298
      16703105,-112.051, 25.3298
      16713105, -106.79, 25.3298
      16723105, -106.79, 25.3298
      16733105,-112.051, 25.3298
      16743105,-112.051, 25.3298
      16753105,-112.051, 25.3298
      16763222,-112.051, 25.3298
      16773162, -106.79, 25.3298
      16783106,-112.051, 25.3298
      16793105,-112.051, 25.3298
      16803105,-112.051, 25.3298
      16813105,-112.051, 25.3298
      16823105,-112.051, 25.3298
      16833105,-112.051, 25.3298
      16843105, -106.79, 25.3298
      16853105,-112.051, 25.3298
      16863105,-112.051, 25.3298
      16873105,-112.051, 25.3298
      16883105,-112.051, 25.3298
      16893105,-112.051, 25.3298
      16903105,-112.051, 25.3298
      16913105,-112.051, 25.3298
      16923236,-112.051, 25.3298
      16933166,-112.051, 25.3298
      16943106,-112.051, 25.3298
      16953105, -106.79, 25.3298
      16963105,-112.051, 25.3298
      16973105,-112.051, 25.3298
      16983105,-112.051, 25.3298
      16993105,-112.051, 25.3298
      17003105, -106.79, 25.3298
      17013105,-112.051, 25.3298
